Date,SP500_TR,CAC40_TR,WGBI_TR
1992-09-01,488.2300109863281,1954.4300537109373,14481.33164936654
1992-10-01,489.6600036621094,2012.530029296875,15305.235426451434
1992-11-01,498.0799865722656,2085.989990234375,15599.113944034416
1992-12-01,509.4200134277344,2093.090087890625,16020.681217192248
1993-01-01,516.0,2152.39990234375,16220.803567904646
1993-02-01,525.030029296875,2086.64990234375,17023.90772388207
1993-03-01,526.0700073242188,2335.75,16876.248174606306
1993-04-01,537.0900268554688,2344.719970703125,16846.370919998422
1993-05-01,528.5499877929688,2265.449951171875,17058.165923353197
1993-06-01,544.2000122070312,2198.14990234375,18247.158306034653
1993-07-01,539.5599975585938,2339.080078125,19256.808225125314
1993-08-01,541.75,2566.760009765625,18990.06393811422
1993-09-01,559.2000122070312,2642.590087890625,18757.12396889924
1993-10-01,558.239990234375,2551.919921875,19132.227572325057
1993-11-01,568.489990234375,2615.81005859375,19351.76816513399
1993-12-01,561.5800170898438,2597.610107421875,19595.167146860324
1994-01-01,567.0999755859375,2762.320068359375,19759.62031811185
1994-02-01,585.27001953125,2812.43994140625,19310.20839089079
1994-03-01,568.3300170898438,2633.68994140625,18916.96925445001
1994-04-01,538.3699951171875,2534.3701171875,18779.30496901764
1994-05-01,556.4400024414062,2639.610107421875,18514.5044796148
1994-06-01,564.1900024414062,2397.280029296875,18298.8120140506
1994-07-01,551.469970703125,2311.260009765625,18394.008761889727
1994-08-01,570.5399780273438,2573.719970703125,18256.107668626908
1994-09-01,587.4500122070312,2530.610107421875,18058.461933141258
1994-10-01,574.8200073242188,2304.18994140625,17882.18810435332
1994-11-01,583.97998046875,2330.030029296875,18353.25808106721
1994-12-01,561.4299926757812,2443.530029296875,18232.979437186725
1995-01-01,575.52001953125,2346.409912109375,18319.48336424991
1995-02-01,590.6500244140625,2275.1201171875,18451.24718790701
1995-03-01,611.6400146484375,2250.929931640625,18615.74969412322
1995-04-01,633.3300170898438,2320.7900390625,19048.70347712831
1995-05-01,649.9500122070312,2413.2099609375,19884.822591467026
1995-06-01,676.530029296875,2452.3798828125,19649.5737459052
1995-07-01,695.0800170898438,2404.72998046875,19486.38354974938
1995-08-01,711.9500122070312,2464.469970703125,19807.2976279749
1995-09-01,719.3400268554688,2418.010009765625,19875.873228874767
1995-10-01,743.6500244140625,2288.27001953125,20036.192130086434
1995-11-01,748.010009765625,2349.9599609375,20658.52310849745
1995-12-01,779.1500244140625,2341.06005859375,20783.587243951533
1996-01-01,798.219970703125,2453.56005859375,21302.30492954967
1996-02-01,822.2999877929688,2603.139892578125,20791.04669061057
1996-03-01,831.7000122070312,2594.22998046875,20778.35773769586
1996-04-01,845.2000122070312,2644.35009765625,21208.36128981332
1996-05-01,847.489990234375,2754.47998046875,21079.350357185143
1996-06-01,866.8300170898438,2752.219970703125,21057.38643091132
1996-07-01,878.969970703125,2795.320068359375,20930.013419110397
1996-08-01,846.77001953125,2662.669921875,21035.718514425545
1996-09-01,854.6300048828125,2619.0400390625,21564.0466511426
1996-10-01,901.2899780273438,2812.760009765625,21647.442475431188
1996-11-01,921.9099731445312,2837.89990234375,22138.779255634054
1996-12-01,993.0,3073.010009765625,22041.97418794648
1997-01-01,969.0499877929688,2992.919921875,22735.584323321626
1997-02-01,1035.5899658203125,3327.340087890625,23177.517069897774
1997-03-01,1048.780029296875,3448.97998046875,22695.89927773612
1997-04-01,1003.3300170898438,3425.18994140625,23240.55728776098
1997-05-01,1056.1300048828125,3525.25,23585.536961755537
1997-06-01,1121.68994140625,3475.389892578125,24161.374669455738
1997-07-01,1182.5699462890625,3997.5,25167.136993329917
1997-08-01,1258.5899658203125,4150.31005859375,24730.779097762166
1997-09-01,1234.43994140625,3818.75,24850.199313257293
1997-10-01,1273.510009765625,4157.77978515625,24603.692228756365
1997-11-01,1252.9599609375,3794.469970703125,24679.19445869677
1997-12-01,1302.8199462890625,3973.320068359375,25114.249911197065
1998-01-01,1305.0400390625,4138.9501953125,25851.639894225835
1998-02-01,1341.3199462890625,4340.16015625,25846.00584125982
1998-03-01,1405.72998046875,4693.08984375,25911.23653155465
1998-04-01,1488.699951171875,5287.6298828125,25692.56423412401
1998-05-01,1507.3299560546875,5414.66015625,25671.379800292063
1998-06-01,1469.4599609375,5602.2001953125,25880.283774716816
1998-07-01,1548.77001953125,5906.60986328125,25666.367367880965
1998-08-01,1501.530029296875,5683.759765625,26148.54757863993
1998-09-01,1343.93994140625,5060.91015625,26140.821723171648
1998-10-01,1335.3599853515625,4216.64990234375,26672.63290839484
1998-11-01,1506.31005859375,4954.47998046875,26919.001854994676
1998-12-01,1594.8699951171875,5120.509765625,27145.31120495718
1999-01-01,1668.52001953125,5757.97998046875,27810.218257883727
1999-02-01,1730.81005859375,5975.68017578125,27845.660496507084
1999-03-01,1682.8599853515625,5598.18994140625,28386.51971425189
1999-04-01,1763.31005859375,5873.43017578125,28954.50329557564
1999-05-01,1847.6300048828125,6174.16015625,28878.813592769468
1999-06-01,1767.800048828125,6035.77001953125,28691.991948533767
1999-07-01,1888.1500244140625,6508.7998046875,28323.89391009196
1999-08-01,1817.27001953125,6198.2001953125,28832.537395903222
1999-09-01,1824.199951171875,6559.93994140625,29042.91155227533
1999-10-01,1759.77001953125,6442.740234375,29412.538974622094
1999-11-01,1858.8599853515625,6935.3798828125,30381.971030508743
1999-12-01,1921.489990234375,7620.259765625,30443.7384062833
2000-01-01,2002.1099853515625,8379.2197265625,30525.6245806528
2000-02-01,1940.239990234375,8175.58984375,30797.62797489837
2000-03-01,1901.510009765625,8859.3896484375,31946.974779966054
2000-04-01,2077.969970703125,8681.580078125,32450.191419662944
2000-05-01,2027.4000244140625,9307.25,32135.24687216324
